0.066667,1,0.00041763,0.00076145,1,0,-41.563,7.2337,0.03131,3.6662
0.13333,1,-1.1483,0.23823,1.0011,0.12626,-33.891,4.7221,0.0272,3.0537
0.2,1,-1.9034,0.17537,1.0006,0.097586,-25.66,2.464,0.023227,2.4704
0.26667,1,-1.4761,0.097945,1.0005,-0.016388,-17.077,0.73228,0.01929,1.9506
0.33333,1,-1.4993,-0.17891,1.001,0.0016738,-8.4008,-0.24298,0.015291,1.5242
0.4,1,-2.7409,0.2729,1.0002,0.30656,0.070223,-0.29158,0.011135,1.2147
0.46667,1,-3.6186,0.75395,1.0004,0.4679,8.0196,0.68894,0.0067452,1.0361
0.53333,1,-3.3774,0.89792,1.0033,0.2438,15.133,2.7358,0.0020633,0.99199
0.6,1,-2.2734,0.12504,1.0012,0.10704,21.118,5.8338,-0.0029425,1.0744
0.66667,1,-1.3514,-0.90256,0.99938,0.26267,25.728,9.9379,-0.0082755,1.265
0.73333,1,-0.92216,-0.74532,0.9982,0.27883,28.775,15.001,-0.013909,1.5364
0.8,1,-0.39287,0.3897,1.0018,0.26594,30.141,21.008,-0.019788,1.8549
0.86667,1,-1.0151,1.3476,0.99999,0.42957,29.783,28,-0.025827,2.184
0.93333,1,-1.2746,2.0688,1.0015,0.31437,27.729,36.107,-0.031918,2.4884
1,1,-0.78554,2.0958,0.99762,0.30087,24.066,45.552,-0.037929,2.7372
1.0667,1,-0.29589,3.2409,1.0006,0.32936,18.92,56.66,-0.043713,2.9082
1.1333,1,0.17797,4.2594,0.99909,0.49688,12.432,69.835,-0.049111,2.9902
1.2,1,0.69963,4.3809,0.99968,0.46142,4.7302,85.533,-0.053958,2.9852
1.2667,1,1.9185,4.9219,0.99677,0.3886,-4.0995,104.21,-0.058087,2.9084
1.3333,1,3.0348,6.8403,0.99301,0.68528,-14.041,126.27,-0.061337,2.7871
1.4,1,2.7647,9.9848,0.99114,0.95046,-25.171,152,-0.063557,2.6592
1.4667,1,1.3356,15.166,0.9925,1.0219,-37.667,181.48,-0.064611,2.5683
1.5333,1,0.85115,20.802,0.98986,0.98101,-51.816,214.56,-0.064386,2.5601
1.6,1,-0.23389,24.421,0.99116,0.81261,-68.002,250.79,-0.062793,2.6765
1.6667,1,-2.3665,28.405,0.99074,0.8827,-86.682,289.37,-0.059775,2.9507
1.7333,25,-4.1967,32.662,0.99076,0.79487,-108.35,329.16,-0.055306,3.402
1.8,25,-7.0054,37.406,0.98943,0.87021,-133.5,368.73,-0.049399,4.0319
1.8667,25,-9.7009,43.425,0.98978,0.84924,-162.55,406.32,-0.042101,4.8214
1.9333,25,-12.987,49.415,0.98145,1.1283,-195.82,440.01,-0.033497,5.7305
2,25,-16.427,56.164,0.98555,1.2787,-233.46,467.74,-0.023706,6.6985
2.0667,25,-19.693,63.498,0.98491,0.93613,-275.37,487.46,-0.012879,7.6477
2.1333,25,-23.723,71.396,0.98255,1.9988,-321.22,497.25,-0.0011897,8.4876
2.2,25,-30.201,81.192,0.98654,1.6891,-370.39,495.42,0.011166,9.122
2.2667,25,-36.203,89.302,0.98863,2.0334,-421.97,480.66,0.023984,9.4557
2.3333,34,-44.334,97.044,0.98968,2.0546,-474.76,452.11,0.037054,9.4028
2.4,34,-53.523,104.45,0.98832,2.454,-527.36,409.45,0.050174,8.8945
2.4667,34,-62.395,111.92,0.98708,2.4525,-578.16,352.96,0.063153,7.8857
2.5333,34,-72.871,117.33,0.9907,2.2991,-625.45,283.49,0.075819,6.3605
2.6,38,-82.817,121.61,0.99127,2.1726,-667.49,202.46,0.088022,4.3357
2.6667,38,-93.879,124.85,0.99408,2.3024,-702.62,111.83,0.099638,1.8617
2.7333,38,-106.02,126.34,0.99552,2.2134,-729.29,13.939,0.11056,-0.97913
2.8,38,-117.08,127.21,0.98911,2.0106,-746.23,-88.54,0.12072,-4.0767
2.8667,42,-129.6,125.88,0.98743,2.1908,-752.45,-192.77,0.13004,-7.2994
